"Latest: Time (s)","Latest: Force 1 (N)","Latest: Force 2 (N)"
0,-3.38553669402,1.15052222242
0.0017,-3.38553669402,1.15052222242
0.0034,-3.38553669402,1.15697380763
0.0051,-3.38553669402,1.16342539284
0.0068,-3.38553669402,1.15697380763
0.0085,-3.38553669402,1.16342539284
0.0102,-3.37955378803,1.16342539284
0.0119,-3.38553669402,1.16342539284
0.0136,-3.38553669402,1.16342539284
0.0153,-3.38553669402,1.16342539284
0.017,-3.37955378803,1.16342539284
0.0187,-3.38553669402,1.16987697805
0.0204,-3.38553669402,1.16987697805
0.0221,-3.38553669402,1.16987697805
0.0238,-3.38553669402,1.17632856326
0.0255,-3.38553669402,1.17632856326
0.0272,-3.38553669402,1.17632856326
0.0289,-3.38553669402,1.17632856326
0.0306,-3.38553669402,1.17632856326
0.0323,-3.38553669402,1.17632856326
0.034,-3.38553669402,1.18278014847
0.0357,-3.38553669402,1.17632856326
0.0374,-3.38553669402,1.18278014847
0.0391,-3.38553669402,1.18278014847
0.0408,-3.37955378803,1.18278014847
0.0425,-3.38553669402,1.18278014847
0.0442,-3.38553669402,1.18923173367
0.0459,-3.38553669402,1.19568331888
0.0476,-3.38553669402,1.19568331888
0.0493,-3.38553669402,1.20213490409
0.051,-3.38553669402,1.20213490409
0.0527,-3.38553669402,1.2085864893
0.0544,-3.38553669402,1.20213490409
0.0561,-3.38553669402,1.21503807451
0.0578,-3.38553669402,1.21503807451
0.0595,-3.38553669402,1.22148965972
0.0612,-3.38553669402,1.21503807451
0.0629,-3.38553669402,1.22148965972
0.0646,-3.38553669402,1.21503807451
0.0663,-3.38553669402,1.22794124492
0.068,-3.38553669402,1.24084441534
0.0697,-3.3915196,1.23439283013
0.0714,-3.38553669402,1.23439283013
0.0731,-3.38553669402,1.22794124492
0.0748,-3.38553669402,1.22794124492
0.0765,-3.38553669402,1.22794124492
0.0782,-3.38553669402,1.22794124492
0.0799,-3.38553669402,1.24084441534
0.0816,-3.38553669402,1.24084441534
0.0833,-3.38553669402,1.23439283013
0.085,-3.38553669402,1.23439283013
0.0867,-3.38553669402,1.23439283013
0.0884,-3.38553669402,1.24729600055
0.0901,-3.38553669402,1.24084441534
0.0918,-3.38553669402,1.24729600055
0.0935,-3.38553669402,1.25374758576
0.0952,-3.38553669402,1.26665075617
0.0969,-3.38553669402,1.25374758576
0.0986,-3.38553669402,1.25374758576
0.1003,-3.38553669402,1.25374758576
0.102,-3.38553669402,1.25374758576
0.1037,-3.38553669402,1.25374758576
0.1054,-3.3915196,1.24729600055
0.1071,-3.38553669402,1.25374758576
0.1088,-3.38553669402,1.26019917097
0.1105,-3.3915196,1.26665075617
0.1122,-3.38553669402,1.26665075617
0.1139,-3.38553669402,1.27310234138
0.1156,-3.38553669402,1.27310234138
0.1173,-3.38553669402,1.27955392659
0.119,-3.38553669402,1.27955392659
0.1207,-3.38553669402,1.2860055118
0.1224,-3.38553669402,1.2860055118
0.1241,-3.38553669402,1.29245709701
0.1258,-3.38553669402,1.29245709701
0.1275,-3.38553669402,1.29245709701
0.1292,-3.38553669402,1.29890868222
0.1309,-3.38553669402,1.31181185263
0.1326,-3.38553669402,1.29890868222
0.1343,-3.3915196,1.30536026743
0.136,-3.38553669402,1.31826343784
0.1377,-3.38553669402,1.31826343784
0.1394,-3.38553669402,1.32471502305
0.1411,-3.38553669402,1.33116660826
0.1428,-3.38553669402,1.33116660826
0.1445,-3.3915196,1.34406977868
0.1462,-3.38553669402,1.34406977868
0.1479,-3.37955378803,1.33761819347
0.1496,-3.38553669402,1.35697294909
0.1513,-3.38553669402,1.35697294909
0.153,-3.38553669402,1.34406977868
0.1547,-3.38553669402,1.35697294909
0.1564,-3.38553669402,1.3634245343
0.1581,-3.38553669402,1.3634245343
0.1598,-3.38553669402,1.35697294909
0.1615,-3.38553669402,1.34406977868
0.1632,-3.37955378803,1.34406977868
0.1649,-3.38553669402,1.35697294909
0.1666,-3.38553669402,1.35697294909
0.1683,-3.38553669402,1.3634245343
0.17,-3.38553669402,1.36987611951
0.1717,-3.38553669402,1.37632770472
0.1734,-3.37955378803,1.39568246034
0.1751,-3.37955378803,1.38923087513
0.1768,-3.38553669402,1.38923087513
0.1785,-3.38553669402,1.39568246034
0.1802,-3.38553669402,1.38277928993
0.1819,-3.38553669402,1.39568246034
0.1836,-3.38553669402,1.40858563076
0.1853,-3.38553669402,1.41503721597
0.187,-3.38553669402,1.41503721597
0.1887,-3.38553669402,1.40213404555
0.1904,-3.38553669402,1.40213404555
0.1921,-3.38553669402,1.40213404555
0.1938,-3.37955378803,1.40213404555
0.1955,-3.38553669402,1.40213404555
0.1972,-3.38553669402,1.34406977868
0.1989,-3.37955378803,1.31181185263
0.2006,-3.37955378803,1.30536026743
0.2023,-3.38553669402,1.29245709701
0.204,-3.38553669402,1.31181185263
0.2057,-3.38553669402,1.34406977868
0.2074,-3.38553669402,1.33761819347
0.2091,-3.38553669402,1.29890868222
0.2108,-3.38553669402,1.33761819347
0.2125,-3.38553669402,1.33761819347
0.2142,-3.38553669402,1.31826343784
0.2159,-3.37955378803,1.30536026743
0.2176,-3.38553669402,1.30536026743
0.2193,-3.38553669402,1.31826343784
0.221,-3.3915196,1.31181185263
0.2227,-3.38553669402,1.27955392659
0.2244,-3.38553669402,1.31826343784
0.2261,-3.38553669402,1.30536026743
0.2278,-3.37955378803,1.31826343784
0.2295,-3.37955378803,1.31826343784
0.2312,-3.37955378803,1.29890868222
0.2329,-3.37955378803,1.29890868222
0.2346,-3.38553669402,1.29890868222
